"CaseReferenceNumber"	"MotionID"	"CaseLocation"	"CaseMajorCode"	"CaseMinorCode"	"CaseTrialListType"	"CaseMarkingCode"	"CaseDispositionJudgeJurisNo"	"CaseDispositionDocketLegendCode"	"MotionResultCode"	"MotionFilingParty"	"MotionDocketLegendCode"	"MotionJurisNumber"	"MotionDocumentPriorityCode"	"CaseAttorneyJuris"	"CaseAttorneyType"	"MotionTimeDuration"	"MotionDocumentTypeName"	"SelfRepBeforeMotionFileCount"	"SelfRepBeforeMotionDecidedCount"	"SelfRepBeforeMotionFileBool"	"SelfRepBeforeMotionDecidedBool"
3543002	18278526	"KNL"	"T"	90	-1	14	NA	""	"OR"	"D"	"MSTRIKE"	433235	30	433235	"R"	61	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3499842	18334128	"NNH"	"T"	90	-1	NA	421279	"JDGDACT"	"GR"	"D"	"MSTRIKE"	421279	30	421279	"J"	82	"MOTION TO STRIKE"	1	1	TRUE	TRUE
3618498	18388866	"HHD"	"V"	1	-1	1	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	412190	30	412190	"R"	47	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3572529	18335217	"HHB"	"T"	90	-1	NA	NA	"WDACT"	"OR"	"D"	"MSTRIKE"	428340	30	428340	"J"	248	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3594988	18279473	"NNH"	"V"	1	9	NA	NA	"WDACT"	"OR"	"P"	"MSTRIKE"	421279	30	421279	"J"	153	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3600229	18335725	"HHD"	"V"	1	9	13	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	422683	30	422683	"J"	49	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3532905	18279660	"HHD"	"T"	28	-1	1	NA	""	"GR"	"D"	"MSTRIKE"	408307	30	408307	"J"	142	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3603328	18280024	"HHD"	"T"	90	-1	NA	89999	"WDACT"	"OR"	"D"	"MSTRIKE"	408307	30	408307	"J"	76	"MOTION TO STRIKE"	1	1	TRUE	TRUE
3617977	18339137	"FBT"	"V"	1	3	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	413629	30	413629	"J"	49	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3621287	18284797	"FBT"	"V"	1	3	NA	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	434442	30	434442	"J"	47	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3560565	18393846	"NNH"	"V"	1	-1	NA	NA	"WDACT"	"GR"	"D"	"MSTRIKE"	421279	30	421279	"J"	74	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3583619	18396270	"HHB"	"T"	70	-1	NA	414025	"JDGDACT"	"DN"	"P"	"MSTRIKE"	89996	30	89996	"X"	14	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3583619	18396386	"HHB"	"T"	70	-1	NA	414025	"JDGDACT"	"DN"	"P"	"MSTRIKE"	89996	30	89996	"X"	2	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3574789	18395497	"HHD"	"V"	9	9	1	89999	"WDACT"	"GR"	"P"	"MSTRIKE"	412190	30	412190	"R"	46	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3433177	18394667	"NNH"	"T"	12	9	14	NA	"WDACT"	"DN"	"D"	"MSTRIKE"	419134	30	419134	"K"	75	"MOTION TO STRIKE"	0	0	FALSE	FALSE
3507056	18340198	"FBT"	"T"	50	-1	NA	NA	"WDACT"	"DN"	"P"	"MSTRIKE"	421277	30	421277	"J"	126	"MOTION TO STRIKE"	1	1	TRUE	TRUE
